iso3,date,renewables_share,co2_capita,greenhousegas_capita,inflation,gdp,hospital_beds_1000,physicians_1000,maternal_death_risk,suicides_100k,health_expenditure_share,poverty,infant_mortality_1000,life_expectancy,fertility,population,female_population
EST,1999,0.19351717464925,10.9980694036443,18079.9999237061,6.46101754257364,11694825363.5915,7.5300002098,3.1386,,,,,9.4,70.0634146341463,1.3,1390244.0,742625.0
ETH,1999,98.8442822384428,0.0494226194709455,75639.9993896484,2.22272296463859,29446594243.9228,,0.02,,,,52.7,90.3,51.366,6.664,64343008.0,32263002.0
FIN,1999,30.512403357473,10.9399447175613,70370.002746582,0.927035885223574,127934744369.414,7.5999999046,2.7589,,,,,3.6,77.2912195121951,1.73,5165474.0,2645100.0
FJI,1999,64.357051807534,0.930172565614373,1909.9999666214,6.73182094422087,4703463406.69275,2.6,0.3361,,,,,19.2,65.512,3.132,806302.0,396804.0
FRA,1999,14.4667396980644,6.19703141532924,507640.014648438,0.203811154729848,1470523899441.7,8.3000001907,3.3345,,,,,4.3,78.7560975609756,1.81,60496708.0,31140700.0
FRO,1999,35.1485148514851,,,,,,,,,,,,78.2317073170732,2.3,46428.0,
FSM,1999,0.221975582685905,1.20628381074335,189.999997615814,-0.784597582283723,249105322.204237,,0.573,,,,,31.7,64.413,4.39,107769.0,53146.0
GAB,1999,63.1024096385542,5.02894772396331,14340.0001525879,19.191335888387,16938747928.9375,,,,,,,54.2,58.646,4.62,1199058.0,604207.0
GBR,1999,2.63271731690623,8.90811234824385,683409.973144531,1.34230672494529,1435578291557.54,4.1999998093,1.9106,,,,0.2,5.7,77.390243902439,1.68,58682466.0,30107684.0
GEO,1999,83.8474554210595,1.08727237038847,13829.9999237061,9.72674960057817,12139872995.0321,5.6900000572,3.8719,,,,21.8,33.7,69.756,1.643,4157192.0,2184417.0
GHA,1999,83.5866752910737,0.34976987746732,17370.0008392334,13.971165047912,32168397251.3984,,,,,,,66.6,56.972,4.899,18812369.0,9318370.0
GIB,1999,0.0,,,,,,,,,,,,,,30526.0,
GIN,1999,52.7539779681763,0.177535105084022,10789.999961853,4.22767530655115,9614095318.5051,,,,,,,103.6,51.295,6.147,8054745.0,4207399.0
GMB,1999,0.0,0.20358338070562,2549.99995231628,-2.43549436370589,2334719455.3715,,,,,,,63.4,55.547,5.908,1277118.0,640507.0
GNB,1999,0.0,0.161409118595775,1570.00005245209,12.3060662570681,1193657421.1524,,,,,,,107.8,49.999,5.913,1177133.0,607784.0
GNQ,1999,17.5,5.55206999389788,7300.00019073486,39.1576256709104,4316220022.03928,,,,,,,109.5,52.93,5.878,581765.0,281427.0
GRC,1999,9.62648041299727,8.12139496945556,112040.000915527,3.62273397235961,198711870247.148,4.6999998093,4.1825,,,,,6.0,77.9878048780488,1.23,10761698.0,5411214.0
GRD,1999,0.0,2.14782922805065,2069.9999332428,1.12148933209397,731754001.848061,,0.5762,,,,,13.1,72.455,2.666,102429.0,51533.0
GRL,1999,58.023019634394,,,1.06045632023837,,,,,,,,,66.3590243902439,2.415,56100.0,
GTM,1999,57.0133127532317,0.724953006247504,17329.9999237061,5.04155798311092,52046949577.7614,,0.8751,,,,,42.5,67.351,4.699,11311078.0,5756928.0
GUM,1999,0.0,,,,,,1.084,,,,,,74.646,2.846,153955.0,75034.0
GUY,1999,0.0,2.3210026731548,3950.00004768372,11.2105069504252,4447139700.01352,,,,,,,37.8,64.964,3.036,749676.0,377050.0
HKG,1999,0.0,,,-4.09580238935787,170834978086.789,,,,,,,,80.3829268292683,0.981,6606500.0,3342651.0
HND,1999,62.1472214140239,0.742519313318139,12180.0003051758,7.57572728281066,15509539250.2388,,,,,,24.9,31.5,70.378,4.367,6397140.0,3216618.0
HRV,1999,56.5307852354165,4.10406690426821,26180.0003051758,3.50237240919024,44946993772.7343,5.9299998283,2.5007,,,,,7.4,72.6419512195122,1.38,4512597.0,2338795.0
HTI,1999,58.0229226361031,0.165883926929332,6840.00015258789,7.03140253670993,17935383849.6535,,,,,,,76.8,56.891,4.452,8319070.0,4223357.0
HUN,1999,0.650243180376401,5.65663788042623,73910.0036621094,8.12026421353582,111315201192.571,8.1000003815,3.5501,,,,,9.1,70.6770731707317,1.28,10237530.0,5363497.0
IDN,1999,14.123261362975,1.33969163728749,660119.995117188,14.1611959857791,934107259827.278,,,,,,46.0,42.7,65.513,2.523,208615171.0,104252992.0
IMN,1999,0.0,,,2.29396839491729,,,,,,,,,,,75996.0,
IND,1999,15.2580757461935,0.868284687641883,1658410.03417969,3.06839552078171,2082700396480.41,,,,,,,68.9,62.093,3.379,1038058154.0,498372774.0
IRL,1999,5.16425453710085,10.6450807049989,67860.0006103516,4.38312959653821,101534472721.861,4.6999998093,2.2696,,,,,6.1,76.0829268292683,1.9,3754786.0,1889591.0
IRN,1999,4.41970310391363,4.99005607563169,499730.010986328,31.7078471451187,658276641950.742,,,,,,,31.2,69.813,2.177,64800875.0,31829262.0
IRQ,1999,1.91680131799892,3.18874684178768,143559.997558594,71.1480449204339,217070192394.864,,,,,,,36.3,69.108,5.036,22802061.0,11302612.0
ISL,1999,99.9304396215915,7.64291714284684,3339.99991416931,3.4988933721487,8198700509.48308,,3.4,,,,,3.4,79.3512195121951,1.99,277381.0,138548.0
ISR,1999,0.0841514726507714,8.64979591836735,68959.9990844727,6.23940931100661,138397458398.735,6.1199998856,4.4045,,,,,5.8,78.6585365853659,2.965,6125000.0,3106819.0
ITA,1999,19.7932537463115,7.60783590406948,511859.985351563,1.5361284470883,1457193715148.05,4.9000000954,5.9882,,,,,5.0,79.4243902439024,1.23,56916317.0,29369602.0
JAM,1999,4.8267513996066,3.79081824317985,11689.9995803833,6.91606081241565,16336763407.6229,,,,,,2.3,19.5,74.152,2.623,2632677.0,1323675.0
JOR,1999,0.240079084875018,2.90753482781551,20309.9994659424,-0.383986268885721,28495930305.5995,,1.925,,,,,23.1,71.556,4.178,5031754.0,2419664.0
JPN,1999,9.22474326813322,9.20248596315278,1259829.95605469,-1.24105134726258,3258971755243.63,14.8000001907,,,,,,3.4,80.5707317073171,1.342,126631000.0,64416945.0
KAZ,1999,12.9100172638848,8.21589812795419,157960.006713867,13.2801406207938,102394278397.406,7.25,3.366,,,,,38.8,65.63,1.8,14928374.0,7740985.0
KEN,1999,66.3806728381124,0.240845592475816,36209.9990844727,4.19393904906435,56790752483.8727,,,,,,,61.8,51.059,5.239,31098763.0,15657195.0
KGZ,1999,85.9002476123099,0.98958763738534,9539.99996185303,37.57444048234,8456627112.61021,7.4699997902,2.9033,,,,,44.4,68.6560975609756,2.6,4840400.0,2448184.0
KHM,1999,0.0,0.160686979744355,20479.9995422363,1.26155228750497,11607730738.5957,,,,,,,83.4,57.604,3.971,11886464.0,6108956.0
KIR,1999,0.0,0.361580831394858,50.0000007450581,4.4921875,122159618.908823,,,,,,,52.8,62.829,4.11,82969.0,42048.0
KNA,1999,0.0,4.12635825959378,270.000010728836,2.7800211954283,613349957.278454,,1.055,,,,,20.7,,,43622.0,
KOR,1999,1.80690673865431,8.62094910797696,453989.990234375,-1.22983539023988,783492526099.428,5.5999999046,1.3,,,,,6.8,75.409756097561,1.425,46616677.0,23225978.0
KWT,1999,0.0,23.4366753738647,63990.0016784668,18.0893573873241,107188563017.681,,,,,,,11.0,73.074,2.89,1951642.0,812615.0
LAO,1999,91.4756034219475,0.168088446612531,7190.00005722046,127.973966400029,9003844816.82,,,,,,,79.2,58.225,4.506,5235339.0,2627506.0
LBN,1999,3.32099629888967,4.54671347860403,20079.9999237061,0.812850465148898,33155730922.7457,,,,,,,18.0,74.017,2.502,3747762.0,1884655.0
LBR,1999,0.0,0.148164171828953,800.000011920929,,,,,,,,,136.0,51.234,5.939,2699708.0,1354517.0
LBY,1999,0.0,8.19193464041634,105879.997253418,,103142450199.355,,,,,,,24.9,70.684,2.97,5275921.0,2532949.0
LCA,1999,0.0,2.51632384442667,740.000009536743,2.33253225134298,1417715492.63482,,,,,,,15.7,73.144,2.35,154988.0,78958.0
LIE,1999,0.0,7.01968564016481,230.000004172325,0.819192785901677,,,,,,,,,79.109756097561,,32765.0,
LKA,1999,67.480595084088,0.509020567806549,21530.0006866455,4.16270115905732,75087760539.0983,2.2000000477,0.3747,,,,,14.7,70.503,2.239,18663293.0,9338128.0
LSO,1999,100.0,0.193094925465359,2359.99989509583,8.13125252957954,2401174510.20721,,,,,,,69.5,49.328,3.857,2019732.0,1046577.0
LTU,1999,3.17060126824051,3.47592869721057,21340.0001525879,-1.25689219624905,27562071462.9566,9.8500003815,3.3124,,,,,8.9,71.5707317073171,1.46,3524238.0,1872416.0
LUX,1999,33.8888888888889,18.3982809686974,8899.99961853027,4.76461985998604,21456887315.5603,6.3000001907,2.5,,,,,4.0,77.7707317073171,1.74,430475.0,218564.0
LVA,1999,67.1289537712895,3.1583588581717,11350.0003814697,1.49184250811378,17703546279.4406,9.029999733,3.3391,,,,,12.4,69.7429268292683,1.16,2390482.0,1291778.0
MAC,1999,0.0,,,-1.19134532538332,13812151421.9914,,,,,,,,80.15,1.002,418388.0,217534.0
